,date,rain,,date,,date
1,01/01/1986,12.2,,01/01/1986,,01/01/1986
2,02/01/1986,4.5,,02/01/1986,,02/01/1986
3,03/01/1986,0,,03/01/1986,,03/01/1986
4,04/01/1986,6.2,,04/01/1986,,04/01/1986
5,05/01/1986,0.3,,05/01/1986,,05/01/1986
6,06/01/1986,0.5,,06/01/1986,,06/01/1986
7,07/01/1986,25.1,,07/01/1986,,07/01/1986
8,08/01/1986,0.3,,08/01/1986,,08/01/1986
9,09/01/1986,1.1,,09/01/1986,,09/01/1986
10,10/01/1986,4.4,,10/01/1986,,10/01/1986
11,11/01/1986,4.1,,11/01/1986,,11/01/1986
12,12/01/1986,0,,12/01/1986,,12/01/1986
13,13/01/1986,1.5,,13/01/1986,,13/01/1986
14,14/01/1986,0.1,,14/01/1986,,14/01/1986
15,15/01/1986,0.7,,15/01/1986,,15/01/1986
16,16/01/1986,5.4,,16/01/1986,,16/01/1986
17,17/01/1986,0.6,,17/01/1986,,17/01/1986
18,18/01/1986,4.4,,18/01/1986,,18/01/1986
19,19/01/1986,5.4,,19/01/1986,,19/01/1986
20,20/01/1986,8.7,,20/01/1986,,20/01/1986
21,21/01/1986,0,,21/01/1986,,21/01/1986
22,22/01/1986,3.7,,22/01/1986,,22/01/1986
23,23/01/1986,0.6,,23/01/1986,,23/01/1986
24,24/01/1986,0,,24/01/1986,,24/01/1986
25,25/01/1986,0,,25/01/1986,,25/01/1986
26,26/01/1986,0.2,,26/01/1986,,26/01/1986
27,27/01/1986,5.3,,27/01/1986,,27/01/1986
28,28/01/1986,0.5,,28/01/1986,,28/01/1986
29,29/01/1986,0.2,,29/01/1986,,29/01/1986
30,30/01/1986,7.1,,30/01/1986,,30/01/1986
31,31/01/1986,0.3,,31/01/1986,,31/01/1986
32,01/02/1986,0,,01/02/1986,,01/02/1986
33,02/02/1986,0.3,,02/02/1986,,02/02/1986
34,03/02/1986,0.7,,03/02/1986,,03/02/1986
35,04/02/1986,0.7,,04/02/1986,,04/02/1986
36,05/02/1986,0.9,,05/02/1986,,05/02/1986
37,06/02/1986,3.6,,06/02/1986,,06/02/1986
38,07/02/1986,3,,07/02/1986,,07/02/1986
39,08/02/1986,0.6,,08/02/1986,,08/02/1986
40,09/02/1986,0,,09/02/1986,,09/02/1986
41,10/02/1986,0.2,,10/02/1986,,10/02/1986
42,11/02/1986,0,,11/02/1986,,11/02/1986
43,12/02/1986,0,,12/02/1986,,12/02/1986
44,13/02/1986,0,,13/02/1986,,13/02/1986
45,14/02/1986,0,,14/02/1986,,14/02/1986
46,15/02/1986,0,,15/02/1986,,15/02/1986
47,16/02/1986,0,,16/02/1986,,16/02/1986
48,17/02/1986,0,,17/02/1986,,17/02/1986
49,18/02/1986,0,,18/02/1986,,18/02/1986
50,19/02/1986,0,,19/02/1986,,19/02/1986
51,20/02/1986,0,,20/02/1986,,20/02/1986
52,21/02/1986,0,,21/02/1986,,21/02/1986
53,22/02/1986,0,,22/02/1986,,22/02/1986
54,23/02/1986,0.1,,23/02/1986,,23/02/1986
55,24/02/1986,0,,24/02/1986,,24/02/1986
